======================================== [1] 2025-12-03 11:35:38
=== OSD Disk Usage ===
ID  CLASS  WEIGHT    REWEIGHT  SIZE     RAW USE  DATA     OMAP    META     AVAIL    %USE  VAR   PGS  STATUS
 9    hdd  14.57399   1.00000   15 TiB   22 GiB  5.0 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  176      up
12    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  183      up
15    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  181      up
19    hdd  14.57399   1.00000   15 TiB   22 GiB  5.0 MiB   1 KiB   89 MiB   15 TiB  0.15  1.02  178      up
22    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  183      up
25    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  173      up
28    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  173      up
31    hdd  14.57399   1.00000   15 TiB   22 GiB  5.4 MiB   1 KiB  102 MiB   15 TiB  0.15  1.02  182      up
34    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  174      up
37    hdd  14.57399   1.00000   15 TiB   22 GiB  5.0 MiB   1 KiB   74 MiB   15 TiB  0.15  1.02  181      up
41    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  170      up
44    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  182      up
 0   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.02  171      up
 3   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.02  169      up
 6   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.02  173      up
10    hdd  14.57399   1.00000   15 TiB   22 GiB  5.0 MiB   1 KiB   74 MiB   15 TiB  0.15  1.02  180      up
13    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  182      up
16    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  182      up
18    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  175      up
21    hdd  14.57399   1.00000   15 TiB   22 GiB  5.0 MiB   1 KiB   74 MiB   15 TiB  0.15  1.02  180      up
24    hdd  14.57399   1.00000   15 TiB   22 GiB  5.6 MiB   1 KiB   92 MiB   15 TiB  0.15  1.02  181      up
27    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  178      up
30    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  175      up
33    hdd  14.57399   1.00000   15 TiB   22 GiB  5.1 MiB   1 KiB   79 MiB   15 TiB  0.15  1.02  183      up
36    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  174      up
40    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  169      up
43    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  177      up
 1   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.02  169      up
 4   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.02  173      up
 7   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.02  171      up
11    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  179      up
14    hdd  14.57399   1.00000   15 TiB   22 GiB  5.0 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  183      up
17    hdd  14.57399   1.00000   15 TiB   22 GiB  5.0 MiB   1 KiB   74 MiB   15 TiB  0.15  1.02  179      up
20    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  180      up
23    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  180      up
26    hdd  14.57399   1.00000   15 TiB   22 GiB  5.0 MiB   1 KiB   89 MiB   15 TiB  0.15  1.02  175      up
29    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  185      up
32    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  169      up
35    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  171      up
38    hdd  14.57399   1.00000   15 TiB   22 GiB  5.4 MiB   1 KiB  102 MiB   15 TiB  0.15  1.02  183      up
39    hdd  14.57399   1.00000   15 TiB   22 GiB  4.9 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  171      up
42    hdd  14.57399   1.00000   15 TiB   22 GiB  4.8 MiB   1 KiB   84 MiB   15 TiB  0.15  1.02  181      up
 2   nvme   1.21289   1.00000  1.2 TiB   35 MiB  4.8 MiB   1 KiB   30 MiB  1.2 TiB  0.00  0.02  173      up
