======================================== [1] 2025-12-05 11:32:37
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   0                  0
 23                   0                  0
 41                   0                  0
 38                   0                  0
 29                   0                  0
 20                   0                  0
 17                   0                  0
 14                   0                  0
 44                   0                  0
 35                   0                  0
 34                   0                  0
 32                   0                  0
 25                   0                  0
 22                   0                  0
 11                   0                  0
 43                   0                  0
  7                   0                  0
 36                   0                  0
  4                   0                  0
 33                   0                  0
 24                   0                  0
 15                   0                  0
 21                   0                  0
 18                   0                  0
 12                   0                  0
  6                   0                  0
 27                   0                  0
  1                   0                  0
 30                   0                  0
 16                   0                  0
  3                   0                  0
  0                   0                  0
 31                   0                  0
  2                   0                  0
 39                   0                  0
 10                   0                  0
 42                   0                  0
 13                   0                  0
  9                   0                  0
  8                   0                  0
 37                   0                  0
 19                   0                  0
 40                   0                  0
  5                   0                  0
 28                   0                  0

======================================== [2] 2025-12-05 11:32:44
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   3                  3
 23                   2                  2
 41                   2                  2
 38                   3                  3
 29                   2                  2
 20                   1                  1
 17                   4                  4
 14                   5                  5
 44                   0                  0
 35                   0                  0
 34                   2                  2
 32                   8                  8
 25                   3                  3
 22                   9                  9
 11                   1                  1
 43                   2                  2
  7                   0                  0
 36                   3                  3
  4                   0                  0
 33                   2                  2
 24                   4                  4
 15                   4                  4
 21                   2                  2
 18                   4                  4
 12                   3                  3
  6                   0                  0
 27                   0                  0
  1                   0                  0
 30                   1                  1
 16                   1                  1
  3                   0                  0
  0                   0                  0
 31                   1                  1
  2                   0                  0
 39                   1                  1
 10                   3                  3
 42                   1                  1
 13                   2                  2
  9                   2                  2
  8                   0                  0
 37                   2                  2
 19                   2                  2
 40                   2                  2
  5                   0                  0
 28                   1                  1

======================================== [3] 2025-12-05 11:32:51
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   4                  4
 23                   3                  3
 41                   2                  2
 38                   2                  2
 29                   6                  6
 20                   4                  4
 17                   2                  2
 14                   2                  2
 44                   3                  3
 35                   2                  2
 34                   4                  4
 32                   5                  5
 25                   1                  1
 22                   2                  2
 11                   3                  3
 43                   2                  2
  7                   0                  0
 36                   3                  3
  4                   0                  0
 33                   2                  2
 24                   3                  3
 15                   1                  1
 21                   2                  2
 18                   3                  3
 12                   2                  2
  6                   0                  0
 27                   5                  5
  1                   0                  0
 30                   3                  3
 16                   2                  2
  3                   0                  0
  0                   0                  0
 31                   1                  1
  2                   0                  0
 39                   3                  3
 10                   1                  1
 42                   2                  2
 13                   1                  1
  9                   2                  2
  8                   0                  0
 37                   3                  3
 19                   3                  3
 40                   2                  2
  5                   0                  0
 28                   1                  1

======================================== [4] 2025-12-05 11:32:58
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   2                  2
 23                   4                  4
 41                   1                  1
 38                   2                  2
 29                   4                  4
 20                   2                  2
 17                   2                  2
 14                   2                  2
 44                   2                  2
 35                   2                  2
 34                   3                  3
 32                   4                  4
 25                   2                  2
 22                   2                  2
 11                   4                  4
 43                   4                  4
  7                   0                  0
 36                   8                  8
  4                   0                  0
 33                   3                  3
 24                   3                  3
 15                   4                  4
 21                   2                  2
 18                   2                  2
 12                   2                  2
  6                   0                  0
 27                   2                  2
  1                   0                  0
 30                   4                  4
 16                   2                  2
  3                   0                  0
  0                   0                  0
 31                   2                  2
  2                   0                  0
 39                   2                  2
 10                   1                  1
 42                   4                  4
 13                   1                  1
  9                   2                  2
  8                   0                  0
 37                   2                  2
 19                   2                  2
 40                   3                  3
  5                   0                  0
 28                   2                  2

======================================== [5] 2025-12-05 11:33:05
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   2                  2
 23                   4                  4
 41                   2                  2
 38                   4                  4
 29                   2                  2
 20                   2                  2
 17                   4                  4
 14                   2                  2
 44                   1                  1
 35                   3                  3
 34                   3                  3
 32                   2                  2
 25                   2                  2
 22                   2                  2
 11                   3                  3
 43                   1                  1
  7                   0                  0
 36                   1                  1
  4                   0                  0
 33                   2                  2
 24                   5                  5
 15                   2                  2
 21                   3                  3
 18                   3                  3
 12                   2                  2
  6                   0                  0
 27                   2                  2
  1                   0                  0
 30                   3                  3
 16                   2                  2
  3                   0                  0
  0                   0                  0
 31                   1                  1
  2                   0                  0
 39                   2                  2
 10                   2                  2
 42                   1                  1
 13                   2                  2
  9                   2                  2
  8                   0                  0
 37                   3                  3
 19                   1                  1
 40                   3                  3
  5                   0                  0
 28                   6                  6

======================================== [6] 2025-12-05 11:33:12
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 26                   1                  1
 23                   3                  3
 41                   2                  2
 38                   2                  2
 29                   5                  5
 20                   2                  2
 17                   2                  2
 14                   2                  2
 44                   3                  3
 35                   2                  2
 34                   2                  2
 32                   3                  3
 25                   2                  2
 22                   2                  2
 11                   3                  3
 43                   1                  1
  7                   0                  0
 36                   3                  3
  4                   0                  0
 33                   2                  2
 24                   6                  6
 15                   2                  2
 21                   2                  2
 18                   2                  2
 12                   2                  2
  6                   0                  0
 27                   1                  1
  1                   0                  0
 30                   2                  2
 16                   2                  2
  3                   0                  0
  0                   0                  0
 31                   2                  2
  2                   0                  0
 39                   2                  2
