Linux 6.8.0-88-generic (dc1-stor40) 	12/04/25 	_x86_64_	(72 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.25    0.00    0.43    0.34    0.00   97.99

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
dm-0             0.00      0.07     0.00   0.00    0.15    46.75    0.02      0.12     0.00   0.00    0.03     4.75    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
dm-1             0.00      0.08     0.00   0.00    0.12    42.90    0.02      0.12     0.00   0.00    0.02     4.76    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
dm-10            0.01      7.87     0.00   0.00    0.58   919.40    4.20     17.46     0.00   0.00    0.03     4.16    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
dm-11            0.81      4.97     0.00   0.00   14.97     6.15    1.61     18.11     0.00   0.00   14.54    11.22    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.04   0.93
dm-12            0.01      3.63     0.00   0.00    0.44   429.25    4.41     18.33     0.00   0.00    0.03     4.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
dm-13            0.69      4.35     0.00   0.00   14.29     6.28    1.44     16.31     0.00   0.00   12.85    11.30    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.03   0.79
dm-14            0.01      2.66     0.00   0.00    0.52   360.82    4.00     16.62     0.00   0.00    0.03     4.16    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
dm-15            0.58      3.46     0.00   0.00   14.09     5.99    1.47     16.46     0.00   0.00   13.19    11.19    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.03   0.68
dm-16            0.01      2.73     0.00   0.00    0.53   360.23    3.95     16.41     0.00   0.00    0.03     4.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
dm-17            1.06      6.15     0.00   0.00   15.62     5.78    1.61     18.14     0.00   0.00   15.17    11.29    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.04   1.17
dm-18            0.01      3.57     0.00   0.00    0.42   414.55    4.26     17.70     0.00   0.00    0.03     4.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
dm-19            0.69      4.14     0.00   0.00   14.72     5.96    1.47     16.39     0.00   0.00   13.70    11.11    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.03   0.81
dm-2             0.00      0.08     0.00   0.00    0.15    44.11    0.03      0.12     0.00   0.00    0.03     4.72    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
dm-20            0.01      2.80     0.00   0.00    0.47   371.59    4.18     17.40     0.00   0.00    0.03     4.16    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
dm-21            0.75      4.63     0.00   0.00   14.82     6.21    1.55     17.28     0.00   0.00   13.52    11.18    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.03   0.87
dm-22            0.01      3.13     0.00   0.00    0.48   388.76    4.42     18.39     0.00   0.00    0.03     4.16    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
dm-23            0.57      3.35     0.00   0.00   14.33     5.86    1.47     16.28     0.00   0.00   12.50    11.08    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.03   0.70
dm-24            0.01      2.74     0.00   0.00    0.48   359.58    4.14     17.22     0.00   0.00    0.03     4.16    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
dm-25            0.75      4.63     0.00   0.00   14.85     6.14    1.56     17.28     0.00   0.00   13.94    11.09    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.03   0.88
dm-26            0.01      0.75     0.00   0.00    0.51   134.62    4.14     17.19     0.00   0.00    0.03     4.15    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
dm-3             0.64      3.81     0.00   0.00   14.15     5.99    1.45     17.03     0.00   0.00   12.23    11.78    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.03   0.75
dm-4             0.01      3.16     0.00   0.00    0.49   405.98    4.53     18.77     0.00   0.00    0.04     4.14    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.01
