======================================== [1] 2025-12-04 13:46:53
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   0                  0
 34                   0                  0
 19                   0                  0
 15                   0                  0
 12                   0                  0
 44                   0                  0
 28                   0                  0
 25                   0                  0
 22                   0                  0
  9                   0                  0
 43                   0                  0
 37                   0                  0
 31                   0                  0
 27                   0                  0
 16                   0                  0
 13                   0                  0
 23                   0                  0
 42                   0                  0
 35                   0                  0
  6                   0                  0
  4                   0                  0
 33                   0                  0
 17                   0                  0
  1                   0                  0
 30                   0                  0
 14                   0                  0
 11                   0                  0
 40                   0                  0
  8                   0                  0
 20                   0                  0
  7                   0                  0
 36                   0                  0
  5                   0                  0
  2                   0                  0
 26                   0                  0
 29                   0                  0
  0                   0                  0
 32                   0                  0
  3                   0                  0
 38                   0                  0
 39                   0                  0
 10                   0                  0
 18                   0                  0
 21                   0                  0
 24                   0                  0

======================================== [2] 2025-12-04 13:47:00
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   2                  2
 34                  11                 11
 19                   6                  6
 15                  11                 11
 12                  11                 11
 44                  27                 27
 28                   2                  2
 25                  17                 17
 22                  16                 16
  9                   5                  5
 43                  12                 12
 37                   5                  5
 31                  11                 11
 27                   4                  4
 16                   8                  8
 13                   7                  7
 23                   6                  6
 42                   4                  4
 35                  12                 12
  6                   0                  0
  4                   0                  0
 33                   2                  2
 17                   4                  4
  1                   0                  0
 30                  15                 15
 14                  10                 10
 11                   4                  4
 40                   8                  8
  8                   0                  0
 20                  17                 17
  7                   0                  0
 36                   3                  3
  5                   0                  0
  2                   0                  0
 26                  10                 10
 29                  12                 12
  0                   0                  0
 32                  16                 16
  3                   0                  0
 38                  10                 10
 39                   9                  9
 10                  21                 21
 18                  14                 14
 21                   1                  1
 24                   3                  3

======================================== [3] 2025-12-04 13:47:07
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  19                 19
 34                   7                  7
 19                  27                 27
 15                   8                  8
 12                  10                 10
 44                  19                 19
 28                  17                 17
 25                   8                  8
 22                   8                  8
  9                  12                 12
 43                   7                  7
 37                   9                  9
 31                   7                  7
 27                  12                 12
 16                  16                 16
 13                  12                 12
 23                  18                 18
 42                  16                 16
 35                  12                 12
  6                   0                  0
  4                   0                  0
 33                  11                 11
 17                   3                  3
  1                   0                  0
 30                   6                  6
 14                  12                 12
 11                  17                 17
 40                  18                 18
  8                   0                  0
 20                   4                  4
  7                   0                  0
 36                   5                  5
  5                   0                  0
  2                   0                  0
 26                  16                 16
 29                  19                 19
  0                   0                  0
 32                   9                  9
  3                   0                  0
 38                  10                 10
 39                  21                 21
 10                  13                 13
 18                   8                  8
 21                  17                 17
 24                  14                 14

======================================== [4] 2025-12-04 13:47:14
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  11                 11
 34                  12                 12
 19                  12                 12
 15                  16                 16
 12                  17                 17
 44                  14                 14
 28                  11                 11
 25                   9                  9
 22                  12                 12
  9                  15                 15
 43                  11                 11
 37                   9                  9
 31                  14                 14
 27                  11                 11
 16                   5                  5
 13                  30                 30
 23                  13                 13
 42                  12                 12
 35                  11                 11
  6                   0                  0
  4                   0                  0
 33                  13                 13
 17                  15                 15
  1                   0                  0
 30                   7                  7
 14                  12                 12
 11                  25                 25
 40                  11                 11
  8                   0                  0
 20                   5                  5
  7                   0                  0
 36                  11                 11
  5                   0                  0
  2                   0                  0
 26                   7                  7
 29                   9                  9
  0                   0                  0
 32                   8                  8
  3                   0                  0
 38                  18                 18
 39                  10                 10
 10                  21                 21
 18                  12                 12
 21                   8                  8
 24                  18                 18

======================================== [5] 2025-12-04 13:47:21
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  12                 12
 34                   5                  5
 19                  11                 11
 15                  18                 18
 12                   9                  9
 44                  17                 17
 28                   6                  6
 25                  13                 13
 22                  15                 15
  9                  10                 10
 43                  19                 19
 37                  16                 16
 31                   6                  6
 27                  16                 16
 16                  11                 11
 13                  11                 11
 23                  11                 11
 42                  11                 11
 35                   8                  8
  6                   0                  0
  4                   0                  0
 33                  14                 14
 17                   7                  7
  1                   0                  0
 30                  10                 10
 14                  10                 10
 11                  12                 12
 40                  10                 10
  8                   0                  0
 20                  13                 13
  7                   0                  0
 36                   6                  6
  5                   0                  0
  2                   0                  0
 26                  17                 17
 29                  12                 12
  0                   0                  0
 32                   4                  4
  3                   0                  0
 38                  14                 14
 39                  10                 10
 10                  15                 15
 18                  13                 13
 21                   8                  8
 24                   9                  9

======================================== [6] 2025-12-04 13:47:28
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  10                 10
 34                   7                  7
 19                  11                 11
 15                  12                 12
 12                  11                 11
 44                   9                  9
 28                  12                 12
 25                  18                 18
 22                  23                 23
  9                   6                  6
 43                  10                 10
 37                  10                 10
 31                  10                 10
 27                   7                  7
 16                  19                 19
 13                  11                 11
 23                  12                 12
 42                   8                  8
 35                   8                  8
  6                   0                  0
  4                   0                  0
 33                   5                  5
 17                   7                  7
  1                   0                  0
 30                  27                 27
 14                  10                 10
 11                   5                  5
 40                   9                  9
  8                   0                  0
 20                  10                 10
  7                   0                  0
 36                  11                 11
  5                   0                  0
  2                   0                  0
 26                  16                 16
 29                  10                 10
  0                   0                  0
 32                  13                 13
  3                   0                  0
 38                  11                 11
 39                  12                 12
 10                  16                 16
 18                  18                 18
 21                   3                  3
 24                  13                 13

======================================== [7] 2025-12-04 13:47:35
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   9                  9
 34                  10                 10
 19                  15                 15
 15                   9                  9
 12                  11                 11
 44                  19                 19
 28                  10                 10
 25                  11                 11
 22                  10                 10
  9                  12                 12
 43                  12                 12
 37                  12                 12
 31                   9                  9
 27                  15                 15
 16                   8                  8
 13                  20                 20
 23                   8                  8
 42                  14                 14
 35                   5                  5
  6                   0                  0
  4                   0                  0
 33                  20                 20
 17                  16                 16
  1                   0                  0
 30                  15                 15
 14                   8                  8
 11                  10                 10
 40                  14                 14
  8                   0                  0
 20                  13                 13
  7                   0                  0
 36                   4                  4
  5                   0                  0
  2                   0                  0
 26                  12                 12
 29                  11                 11
  0                   0                  0
 32                   4                  4
  3                   0                  0
 38                  10                 10
 39                   9                  9
 10                  15                 15
 18                  19                 19
 21                   5                  5
 24                  24                 24

======================================== [8] 2025-12-04 13:47:42
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  11                 11
 34                  18                 18
 19                  11                 11
 15                  13                 13
 12                  17                 17
 44                  17                 17
 28                  12                 12
 25                  12                 12
 22                  10                 10
  9                  13                 13
 43                  15                 15
 37                  18                 18
 31                  10                 10
 27                  21                 21
 16                   7                  7
 13                  20                 20
 23                   7                  7
 42                  14                 14
 35                  12                 12
  6                   0                  0
  4                   0                  0
 33                   8                  8
 17                  11                 11
  1                   0                  0
 30                   6                  6
 14                  23                 23
 11                  13                 13
 40                   9                  9
  8                   0                  0
 20                   8                  8
  7                   0                  0
 36                  12                 12
  5                   0                  0
  2                   0                  0
 26                  19                 19
 29                   5                  5
  0                   0                  0
 32                   5                  5
  3                   0                  0
 38                   8                  8
 39                  13                 13
 10                  10                 10
 18                  19                 19
 21                   2                  2
 24                  25                 25

======================================== [9] 2025-12-04 13:47:48
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  16                 16
 34                  18                 18
 19                  18                 18
 15                  16                 16
 12                  14                 14
 44                  10                 10
 28                   7                  7
 25                  12                 12
 22                  11                 11
  9                   6                  6
 43                   6                  6
 37                   8                  8
 31                  12                 12
 27                  19                 19
 16                  10                 10
 13                  24                 24
 23                  18                 18
 42                  27                 27
 35                   9                  9
  6                   0                  0
  4                   0                  0
 33                  15                 15
 17                   6                  6
  1                   0                  0
 30                  16                 16
 14                  17                 17
 11                  11                 11
 40                   9                  9
  8                   0                  0
 20                   8                  8
  7                   0                  0
 36                  13                 13
  5                   0                  0
  2                   0                  0
 26                  11                 11
 29                  11                 11
  0                   0                  0
 32                  15                 15
  3                   0                  0
 38                  17                 17
 39                   5                  5
 10                  12                 12
 18                  11                 11
 21                  15                 15
 24                   8                  8

======================================== [10] 2025-12-04 13:47:56
