======================================== [1] 2025-12-02 17:00:29
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   0                  0
 31                   0                  0
 23                   0                  0
 20                   0                  0
 34                   0                  0
 16                   0                  0
 13                   0                  0
 10                   0                  0
 38                   0                  0
 28                   0                  0
 25                   0                  0
 14                   0                  0
 44                   0                  0
 43                   0                  0
 29                   0                  0
 37                   0                  0
  8                   0                  0
  5                   0                  0
 17                   0                  0
 30                   0                  0
  1                   0                  0
 27                   0                  0
 24                   0                  0
 15                   0                  0
  2                   0                  0
 33                   0                  0
  4                   0                  0
  6                   0                  0
 35                   0                  0
  3                   0                  0
 32                   0                  0
 39                   0                  0
  0                   0                  0
  9                   0                  0
 12                   0                  0
 18                   0                  0
 19                   0                  0
 42                   0                  0
 11                   0                  0
 40                   0                  0
 21                   0                  0
 36                   0                  0
  7                   0                  0
 22                   0                  0
 26                   0                  0

======================================== [2] 2025-12-02 17:00:36
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  33                 33
 31                  83                 83
 23                  22                 22
 20                  26                 26
 34                   0                  0
 16                   0                  0
 13                   0                  0
 10                   0                  0
 38                  19                 19
 28                  46                 46
 25                   0                  0
 14                   7                  7
 44                  16                 16
 43                 109                109
 29                  66                 66
 37                  10                 10
  8                   0                  0
  5                   0                  0
 17                  17                 17
 30                  47                 47
  1                   0                  0
 27                  10                 10
 24                  36                 36
 15                  18                 18
  2                   0                  0
 33                   0                  0
  4                   0                  0
  6                   0                  0
 35                   1                  1
  3                   0                  0
 32                  35                 35
 39                  31                 31
  0                   0                  0
  9                   6                  6
 12                  16                 16
 18                   2                  2
 19                   8                  8
 42                  43                 43
 11                   0                  0
 40                   3                  3
 21                   0                  0
 36                   0                  0
  7                   0                  0
 22                   5                  5
 26                  23                 23

======================================== [3] 2025-12-02 17:00:42
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  42                 42
 31                  26                 26
 23                  16                 16
 20                  25                 25
 34                  34                 34
 16                  43                 43
 13                  52                 52
 10                  30                 30
 38                  19                 19
 28                  39                 39
 25                  11                 11
 14                  29                 29
 44                  39                 39
 43                  36                 36
 29                  19                 19
 37                   6                  6
  8                   0                  0
  5                   0                  0
 17                  15                 15
 30                  25                 25
  1                   0                  0
 27                  14                 14
 24                   4                  4
 15                  23                 23
  2                   0                  0
 33                  37                 37
  4                   0                  0
  6                   0                  0
 35                  16                 16
  3                   0                  0
 32                  12                 12
 39                  22                 22
  0                   0                  0
  9                  16                 16
 12                  18                 18
 18                  46                 46
 19                  18                 18
 42                  42                 42
 11                  38                 38
 40                  46                 46
 21                   8                  8
 36                  33                 33
  7                   0                  0
 22                  25                 25
 26                  35                 35

======================================== [4] 2025-12-02 17:00:50
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  31                 31
 31                  49                 49
 23                  32                 32
 20                  30                 30
 34                  56                 56
 16                  18                 18
 13                  29                 29
 10                  28                 28
 38                  23                 23
 28                  31                 31
 25                  33                 33
 14                   4                  4
 44                  43                 43
 43                  30                 30
 29                  21                 21
 37                  40                 40
  8                   0                  0
  5                   0                  0
 17                  12                 12
 30                  48                 48
  1                   0                  0
 27                   3                  3
 24                  31                 31
 15                  19                 19
  2                   0                  0
 33                  27                 27
  4                   0                  0
  6                   0                  0
 35                  18                 18
  3                   0                  0
 32                  11                 11
 39                  22                 22
  0                   0                  0
  9                  15                 15
 12                   8                  8
 18                   9                  9
 19                  24                 24
 42                   9                  9
 11                  25                 25
 40                  45                 45
 21                  17                 17
 36                  38                 38
  7                   0                  0
 22                  19                 19
 26                   4                  4

======================================== [5] 2025-12-02 17:00:56
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  25                 25
 31                  46                 46
 23                  22                 22
 20                  18                 18
 34                  33                 33
 16                  37                 37
 13                  25                 25
 10                   9                  9
 38                  23                 23
 28                   7                  7
 25                  15                 15
 14                  14                 14
 44                  47                 47
 43                  35                 35
 29                  41                 41
 37                  31                 31
  8                   0                  0
  5                   0                  0
 17                  34                 34
 30                  24                 24
  1                   0                  0
 27                  38                 38
 24                  28                 28
 15                   7                  7
  2                   0                  0
 33                  14                 14
  4                   0                  0
  6                   0                  0
 35                  55                 55
  3                   0                  0
 32                  29                 29
 39                  25                 25
  0                   0                  0
  9                  19                 19
 12                  46                 46
 18                  10                 10
 19                  42                 42
 42                  20                 20
 11                   1                  1
 40                  24                 24
 21                  21                 21
 36                  47                 47
  7                   0                  0
 22                  24                 24
 26                  24                 24

======================================== [6] 2025-12-02 17:01:03
