======================================== [1] 2025-12-02 17:12:38
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
  7                   0                  0
 22                  28                 28
 26                  18                 18

======================================== [8] 2025-12-02 17:13:25
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                   4                  4
 31                  16                 16
 23                  11                 11
 20                  27                 27
 34                  14                 14
 16                  48                 48
 13                  15                 15
 10                  40                 40
 38                  12                 12
 28                   5                  5
 25                  15                 15
 14                  35                 35
 44                  29                 29
 43                  24                 24
 29                  17                 17
 37                  35                 35
  8                   0                  0
  5                   0                  0
 17                  23                 23
 30                  27                 27
  1                   0                  0
 27                  12                 12
 24                  14                 14
 15                  13                 13
  2                   0                  0
 33                   5                  5
  4                   0                  0
  6                   0                  0
 35                   5                  5
  3                   0                  0
 32                  27                 27
 39                  40                 40
  0                   0                  0
  9                  21                 21
 12                  20                 20
 18                  37                 37
 19                  40                 40
 42                  29                 29
 11                  29                 29
 40                  29                 29
 21                  54                 54
 36                  50                 50
  7                   0                  0
 22                  45                 45
 26                   7                  7

======================================== [9] 2025-12-02 17:13:32
=== OSD Performance ===
osd  commit_latency(ms)  apply_latency(ms)
 41                  24                 24
 31                  27                 27
 23                   9                  9
 20                   9                  9
 34                  39                 39
 16                  38                 38
 13                  19                 19
 10                  14                 14
 38                  19                 19
 28                  16                 16
 25                  15                 15
 14                   9                  9
 44                  14                 14
 43                  26                 26
 29                  23                 23
 37                  26                 26
  8                   0                  0
  5                   0                  0
 17                   5                  5
 30                  15                 15
  1                   0                  0
 27                  20                 20
 24                  14                 14
 15                  22                 22
  2                   0                  0
 33                  26                 26
  4                   0                  0
  6                   0                  0
 35                  16                 16
  3                   0                  0
 32                   7                  7
 39                  12                 12
  0                   0                  0
  9                   9                  9
 12                  44                 44
 18                  12                 12
 19                  23                 23
 42                  21                 21
 11                  18                 18
 40                  25                 25
 21                  31                 31
 36                  59                 59
  7                   0                  0
 22                  14                 14
 26                  24                 24

======================================== [10] 2025-12-02 17:13:39
